stage	family	job_id	script	output	status
synthetic_background	synthetic	12260814	code/julia/canonical_main/new-normalized-synthetic-data-inversion-bbo.jl	data/synthetic/new-normalized-synthetic-inversion_results_12260814.h5	included
synthetic_perturbation	synthetic	12343185	code/julia/canonical_main/new-normalized-perturbation-synthetic-data-inversion-bbo_F3_tpk_fixed.jl	data/synthetic/new-normalized-perturbation-synthetic-inversion_results_12343185.h5	included
real_background_BBO1	ASLS	13256787	code/julia/canonical_main/new-real-background-inversion-bbo_from_old_asls.jl	data/background_inversion/new-real-background-inversion-bbo_from_old_asls_results_13256787.h5	included
real_background_BBO2	ASLS	13341497	code/julia/canonical_main/new-real-background-inversion-bbo_from_old_asls_restart_RECONSTRUCTED_job13341497.jl	data/background_inversion/new-real-background-inversion-bbo_from_old_asls_restart_results_13341497.h5	reconstructed_script_from_provenance_output_included
real_background_BBO1	Whittaker	12909279	code/julia/canonical_main/new-real-background-inversion-bbo_from_whittaker_selected.jl	data/background_inversion/new-real-background-inversion_from_sep_16_22_results_12909279.h5	included
real_background_BBO2	Whittaker	12976567	code/julia/canonical_main/new-real-background-inversion-bbo_from_whittaker_selected_restart15.jl	data/background_inversion/new-real-background-inversion_from_sep_16_22_restart15_results_12976567.h5	included
real_background_BBO1	PolyF3	15706055	code/julia/canonical_main/new-real-background-inversion-bbo_from_polyF3_simultaneous_16_22_degA7_degPhi4.jl	data/background_inversion/new-real-background-inversion_from_polyF3_simultaneous_16_22_degA7_degPhi4_results_15706055.h5	included
real_background_BBO2	PolyF3	15742708	code/julia/canonical_main/new-real-background-inversion-bbo_from_polyF3_simultaneous_restart_from_15706055.jl	data/background_inversion/new-real-background-inversion_from_polyF3_simultaneous_restart_from_15706055_results_15742708.h5	included
real_perturbation_BBO1	ASLS	15341092	code/julia/canonical_main/new-perturbation-data-inversion-bbo_F3_nexp_fixed_TPK_from_data_oldASLS_BG_rel10.jl	data/perturbation_inversion/ASLS/new-perturbation-inversion_F3_nexp_oldASLS_BG13341497_FIXED_TPK_rel10_results_15341092.h5	included
real_perturbation_BBO2	ASLS	15373069	code/julia/canonical_main/new-perturbation-data-inversion-bbo_F3_nexp_fixed_TPK_from_data_oldASLS_BG_rel10_restart_seed_from_15341092.jl	data/perturbation_inversion/ASLS/new-perturbation-inversion_F3_nexp_oldASLS_BG13341497_FIXED_TPK_rel10_seed_from_15341092_results_15373069.h5	included
real_perturbation_BBO1	Whittaker	15517278	code/julia/canonical_main/new-perturbation-data-inversion-bbo_F3_nexp_fixed_TPK_from_data_whittakerBG12976567_rel10.jl	data/perturbation_inversion/Whittaker/new-perturbation-inversion_F3_nexp_whittakerBG12976567_FIXED_TPK_rel10_results_15517278.h5	included
real_perturbation_BBO2	Whittaker	15572093	code/julia/canonical_main/new-perturbation-data-inversion-bbo_F3_nexp_fixed_TPK_restart_from15517278_whittakerBG12976567_rel10_z0wide20.jl	data/perturbation_inversion/Whittaker/new-perturbation-inversion_F3_nexp_whittakerBG12976567_FIXED_TPK_restart_from15517278_rel10_z0wide20_results_15572093.h5	included
real_perturbation_BBO1	PolyF3	15824988	code/julia/canonical_main/new-perturbation-data-inversion-bbo_F3_nexp_fixed_TPK_from_data_polyF3BG15742708_rel10.jl	data/perturbation_inversion/PolyF3/new-perturbation-inversion_F3_nexp_polyF3BG15742708_FIXED_TPK_rel10_results_15824988.h5	included
real_perturbation_BBO2	PolyF3	15868514	code/julia/canonical_main/new-perturbation-data-inversion-bbo_F3_nexp_fixed_TPK_from_data_polyF3BG15742708_restart_from_15824988_rel10.jl	data/perturbation_inversion/PolyF3/new-perturbation-inversion_F3_nexp_polyF3BG15742708_FIXED_TPK_restart_from_15824988_rel10_results_15868514.h5	included
ground_reference	SI	16574705	original Julia script snapshot unavailable; curated generator notebook included	supporting_information/ground_sensitivity/data/reference_efield_firi_NAA_PLO_10wg_13ground_cases_20080325.jld2	output_included_notebook_workflow_included
ground_5plus5_BBO1	SI	16592871	supporting_information/ground_sensitivity/code/julia/new-real-background-inversion-bbo_whittaker_ocean5_goodsoil5_BBO1_FIXED.jl	supporting_information/ground_sensitivity/data/new-real-background-inversion_whittaker_ocean5_goodsoil5_BBO1_results_16592871.h5	included_selected_heterogeneous_solution
ground_5plus5_BBO2	SI	16842793	supporting_information/ground_sensitivity/code/julia/new-real-background-inversion-bbo_whittaker_ocean5_goodsoil5_BBO2_restart15.jl	supporting_information/ground_sensitivity/data/new-real-background-inversion_whittaker_ocean5_goodsoil5_BBO2_restart15_results_16842793.h5	included_rejected_restart_for_provenance
ground_forward_diagnostic	SI	16835254	original Julia script snapshot unavailable; controlled diagnostic output and related SI notebooks included	supporting_information/ground_sensitivity/data/ground_forward_diagnostic_FIRI_oceanBBO2_17pts_16835254.h5	output_included
